code,id,name,type
RYG,RYG,,CCG
RYY,RYY,,CCG
RYW,RYW,,CCG
NYF,NYF,,CCG
NCN,NCN,,CCG
NVK,NVK,,CCG
AKV,AKV,,CCG
RTV,RTV,,CCG
AJ3,AJ3,,CCG
RXH,RXH,,CCG
Q45,Q45,,CCG
RJN,RJN,,CCG
NLE,NLE,,CCG
AJ9,AJ9,,CCG
RAJ,RAJ,,CCG
215,215,,CCG
RXK,RXK,,CCG
NL8,NL8,,CCG
RRV,RRV,,CCG
AND,AND,,CCG
RY4,RY4,,CCG
RY5,RY5,,CCG
RY2,RY2,,CCG
RW5,RW5,,CCG
NTV,NTV,,CCG
AQM,AQM,,CCG
RWE,RWE,,CCG
RA9,RA9,,CCG
704,704,,CCG
RGR,RGR,,CCG
ARF,ARF,,CCG
ARG,ARG,,CCG
AJT,AJT,,CCG
Q60,Q60,,CCG
RLY,RLY,,CCG
NRX,NRX,,CCG
311,311,,CCG
508,508,,CCG
NLW,NLW,,CCG
RYJ,RYJ,,CCG
109,109,,CCG
106,106,,CCG
107,107,,CCG
104,104,,CCG
905,905,,CCG
RLQ,RLQ,,CCG
909,909,,CCG
RWN,RWN,,CCG
RWX,RWX,,CCG
NT4,NT4,,CCG
ALK,ALK,,CCG
AT0,AT0,,CCG
609,609,,CCG
DA8,DA8,,CCG
NTP,NTP,,CCG
AWH,AWH,,CCG
RW6,RW6,,CCG
NQH,NQH,,CCG
ATR,ATR,,CCG
RGQ,RGQ,,CCG
Q47,Q47,,CCG
ARD,ARD,,CCG
Q63,Q63,,CCG
NNC,NNC,,CCG
RV9,RV9,,CCG
RCE,RCE,,CCG
615,615,,CCG
RH5,RH5,,CCG
RJ8,RJ8,,CCG
RQ3,RQ3,,CCG
723,723,,CCG
NO0,NO0,,CCG
NLO,NLO,,CCG
NQT,NQT,,CCG
RXE,RXE,,CCG
DAN,DAN,,CCG
DAA,DAA,,CCG
RTQ,RTQ,,CCG
NQL,NQL,,CCG
NQ7,NQ7,,CCG
13F,13F,,CCG
RHA,RHA,,CCG
821,821,,CCG
RTD,RTD,,CCG
RTG,RTG,,CCG
RTF,RTF,,CCG
NLX,NLX,,CCG
RTR,RTR,,CCG
NLL,NLL,,CCG
NL1,NL1,,CCG
RFR,RFR,,CCG
RY8,RY8,,CCG
RY6,RY6,,CCG
RY7,RY7,,CCG
RMY,RMY,,CCG
RMC,RMC,,CCG
RM3,RM3,,CCG
AAR,AAR,,CCG
NR3,NR3,,CCG
RC3,RC3,,CCG
AAX,AAX,,CCG
NR5,NR5,,CCG
RPG,RPG,,CCG
325,325,,CCG
205,205,,CCG
RBZ,RBZ,,CCG
209,209,,CCG
AA8,AA8,,CCG
NI3,NI3,,CCG
414,414,,CCG
413,413,,CCG
319,319,,CCG
313,313,,CCG
310,310,,CCG
RGD,RGD,,CCG
RN3,RN3,,CCG
NQV,NQV,,CCG
RNN,RNN,,CCG
RT2,RT2,,CCG
RY1,RY1,,CCG
DDC,DDC,,CCG
NPR,NPR,,CCG
