ingredient_id,ingredient,vmp_id,bnf_code,vmp,simplified_form_route,dose_form,unit_dose_form_size,unit_dose_form_units,ntr_strength,ntr_strength_unit,dtr_strength,dtr_strength_unit,strength_mg_per_ml,ntr_strength_mg,ome,extra_multiplier,weighting
387560008,Alfentanil,35896711000001102,1501043A0AAADAD,Alfentanil 5mg/1ml solution for injection ampoules,injection,Discrete,1,ml,5,mg,1,ml,5,5,30,1,150
387560008,Alfentanil,34682211000001109,1501043A0AAAHAH,Alfentanil 25mg/50ml solution for injection vials,injection,Discrete,50,ml,500,microgram,1,ml,0.5,0.5,30,1,15
387560008,Alfentanil,35896411000001108,1501043A0AAABAB,Alfentanil 1mg/2ml solution for injection ampoules,injection,Discrete,2,ml,500,microgram,1,ml,0.5,0.5,30,1,15
387560008,Alfentanil,35896611000001106,1501043A0AAACAC,Alfentanil 5mg/10ml solution for injection ampoules,injection,Discrete,10,ml,500,microgram,1,ml,0.5,0.5,30,1,15
387560008,Alfentanil,35896511000001107,1501043A0AAAFAF,Alfentanil 500micrograms/1ml solution for injection ampoules,injection,Discrete,1,ml,500,microgram,1,ml,0.5,0.5,30,1,15
387173000,Buprenorphine,35913611000001107,0407020B0AAAAAA,Buprenorphine 300micrograms/1ml solution for injection ampoules,injection,Discrete,1,ml,300,microgram,1,ml,0.3,0.3,100,1,30
387173000,Buprenorphine,42009211000001102,0407020B0AAADAD,Buprenorphine 400microgram sublingual tablets sugar free,oromucosal,Discrete,1,tablet,400,microgram,,,,0.4,60,1,24
387173000,Buprenorphine,42009011000001107,0407020B0AAABAB,Buprenorphine 200microgram sublingual tablets sugar free,oromucosal,Discrete,1,tablet,200,microgram,,,,0.2,60,1,12
387173000,Buprenorphine,35913911000001101,0407020B0AAAGAG,Buprenorphine 70micrograms/hour transdermal patches,transdermal,Discrete,1,patch,70,microgram,1,hour,,0.07,100,96,672
387173000,Buprenorphine,35913811000001106,0407020B0AAAFAF,Buprenorphine 52.5micrograms/hour transdermal patches,transdermal,Discrete,1,patch,52.5,microgram,1,hour,,0.0525,100,96,504
387173000,Buprenorphine,4.27551E+16,0407020B0AAANAN,Buprenorphine 40micrograms/hour transdermal patches,transdermal,Discrete,1,patch,40,microgram,1,hour,,0.04,100,96,384
387173000,Buprenorphine,35913711000001103,0407020B0AAAEAE,Buprenorphine 35micrograms/hour transdermal patches,transdermal,Discrete,1,patch,35,microgram,1,hour,,0.035,100,96,336
387173000,Buprenorphine,9567311000001107,0407020B0AAAJAJ,Buprenorphine 20micrograms/hour transdermal patches,transdermal,Discrete,1,patch,20,microgram,1,hour,,0.02,100,168,336
387173000,Buprenorphine,42755011000001101,0407020B0AAAMAM,Buprenorphine 30micrograms/hour transdermal patches,transdermal,Discrete,1,patch,30,microgram,1,hour,,0.03,100,96,288
387173000,Buprenorphine,32038411000001102,0407020B0AAAKAK,Buprenorphine 15micrograms/hour transdermal patches,transdermal,Discrete,1,patch,15,microgram,1,hour,,0.015,100,168,252
387173000,Buprenorphine,42754911000001101,0407020B0AAALAL,Buprenorphine 25micrograms/hour transdermal patches,transdermal,Discrete,1,patch,25,microgram,1,hour,,0.025,100,96,240
387173000,Buprenorphine,9.56741E+15,0407020B0AAAIAI,Buprenorphine 10micrograms/hour transdermal patches,transdermal,Discrete,1,patch,10,microgram,1,hour,,0.01,100,168,168
387173000,Buprenorphine,9567211000001104,0407020B0AAAHAH,Buprenorphine 5micrograms/hour transdermal patches,transdermal,Discrete,1,patch,5,microgram,1,hour,,0.005,100,168,84
261000,Codeine phosphate,36090011000001104,0407020C0AAAAAA,Codeine 60mg/1ml solution for injection ampoules,injection,Discrete,1,ml,60,mg,1,ml,60,60,0.1,1,6
261000,Codeine phosphate,12388811000001109,0407020C0AAAHAH,Codeine 30mg/1ml solution for injection ampoules,injection,Discrete,1,ml,30,mg,1,ml,30,30,0.1,1,3
261000,Codeine phosphate,42010511000001109,0407020C0AAAFAF,Codeine 60mg tablets,oral,Discrete,1,tablet,60,mg,,,,60,0.1,1,6
261000,Codeine phosphate,42009911000001106,0407010F0AAARAR,Co-codamol 60mg/1000mg effervescent powder sachets sugar free,oral,Discrete,1,sachet,60,mg,,,,60,0.1,1,6
261000,Codeine phosphate,34625311000001101,0407010F0AAAYAY,Co-codamol 60mg/1000mg tablets,oral,Discrete,1,tablet,60,mg,,,,60,0.1,1,6
261000,Codeine phosphate,42010411000001105,0407020C0AAAEAE,Codeine 30mg tablets,oral,Discrete,1,tablet,30,mg,,,,30,0.1,1,3
261000,Codeine phosphate,42009811000001101,0407010F0AAAHAH,Co-codamol 30mg/500mg tablets,oral,Discrete,1,tablet,30,mg,,,,30,0.1,1,3
261000,Codeine phosphate,4.20096E+16,0407010F0AAAQAQ,Co-codamol 30mg/500mg effervescent powder sachets sugar free,oral,Discrete,1,sachet,30,mg,,,,30,0.1,1,3
261000,Codeine phosphate,42009711000001109,0407010F0AAAFAF,Co-codamol 30mg/500mg effervescent tablets,oral,Discrete,1,tablet,30,mg,,,,30,0.1,1,3
261000,Codeine phosphate,42009511000001104,0407010F0AAADAD,Co-codamol 30mg/500mg capsules,oral,Discrete,1,capsule,30,mg,,,,30,0.1,1,3
261000,Codeine phosphate,44159611000001106,0407010F0AABBBB,Co-codamol 30mg/500mg effervescent tablets sugar free,oral,Discrete,1,tablet,30,mg,,,,30,0.1,1,3
261000,Codeine phosphate,36045211000001108,1001010J0AAARAR,Ibuprofen 300mg modified-release / Codeine 20mg tablets,oral,Discrete,1,tablet,20,mg,,,,20,0.1,1,2
261000,Codeine phosphate,42010311000001103,0407020C0AAADAD,Codeine 15mg tablets,oral,Discrete,1,tablet,15,mg,,,,15,0.1,1,1.5
